original_name,pinyin_name,new_filename,mass_kg
chassis\Wangs - chassis-1 轮组-底盘以下-4 铜柱-单通-4-40-6-2.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__4__tong_zhu___dan_tong__4_40_6_2,wangs___chassis_1__lun_zu___di_pan_yi_xia__4__tong_zhu___dan_tong__4_40_6_2.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-4 铜柱-单通-4-40-6-3.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__4__tong_zhu___dan_tong__4_40_6_3,wangs___chassis_1__lun_zu___di_pan_yi_xia__4__tong_zhu___dan_tong__4_40_6_3.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-4 铜柱-单通-4-40-6-4.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__4__tong_zhu___dan_tong__4_40_6_4,wangs___chassis_1__lun_zu___di_pan_yi_xia__4__tong_zhu___dan_tong__4_40_6_4.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 DO20AT01喇叭 15W4欧-1.STL,wangs___chassis_1__ding_ban__1_do20at01_la_ba__15w4_ou__1,wangs___chassis_1__ding_ban__1_do20at01_la_ba__15w4_ou__1.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 DO20AT01喇叭 15W4欧-2.STL,wangs___chassis_1__ding_ban__1_do20at01_la_ba__15w4_ou__2,wangs___chassis_1__ding_ban__1_do20at01_la_ba__15w4_ou__2.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 一分三扩展坞-1.STL,wangs___chassis_1__ding_ban__1__yi_fen_san_kuo_zhan_wu__1,wangs___chassis_1__ding_ban__1__yi_fen_san_kuo_zhan_wu__1.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 激光雷达_宇树_装配-1 M3橡胶减震柱-1.STL,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1_m3_xiang_jiao_jian_zhen_zhu__1,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1_m3_xiang_jiao_jian_zhen_zhu__1.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 激光雷达_宇树_装配-1 M3橡胶减震柱-2.STL,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1_m3_xiang_jiao_jian_zhen_zhu__2,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1_m3_xiang_jiao_jian_zhen_zhu__2.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 激光雷达_宇树_装配-1 M3橡胶减震柱-3.STL,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1_m3_xiang_jiao_jian_zhen_zhu__3,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1_m3_xiang_jiao_jian_zhen_zhu__3.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 激光雷达_宇树_装配-1 塑料垫柱-1.STL,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1__su_liao_dian_zhu__1,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1__su_liao_dian_zhu__1.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 激光雷达_宇树_装配-1 塑料垫柱-2.STL,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1__su_liao_dian_zhu__2,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1__su_liao_dian_zhu__2.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 激光雷达_宇树_装配-1 塑料垫柱-3.STL,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1__su_liao_dian_zhu__3,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1__su_liao_dian_zhu__3.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 激光雷达_宇树_装配-1 宇树激光雷达_L1-1.STL,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1__yu_shu_ji_guang_lei_da__l1_1,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1__yu_shu_ji_guang_lei_da__l1_1.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 激光雷达_宇树_装配-1 雷达垫块-1.STL,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1__lei_da_dian_kuai__1,wangs___chassis_1__ding_ban__1__ji_guang_lei_da___yu_shu___zhuang_pei__1__lei_da_dian_kuai__1.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 相机-1 相机垫圈-1.STL,wangs___chassis_1__ding_ban__1__xiang_ji__1__xiang_ji_dian_juan__1,wangs___chassis_1__ding_ban__1__xiang_ji__1__xiang_ji_dian_juan__1.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 相机-1 相机座-1.STL,wangs___chassis_1__ding_ban__1__xiang_ji__1__xiang_ji_zuo__1,wangs___chassis_1__ding_ban__1__xiang_ji__1__xiang_ji_zuo__1.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 相机-1 相机感光-1.STL,wangs___chassis_1__ding_ban__1__xiang_ji__1__xiang_ji_gan_guang__1,wangs___chassis_1__ding_ban__1__xiang_ji__1__xiang_ji_gan_guang__1.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 相机-1 相机镜头-1.STL,wangs___chassis_1__ding_ban__1__xiang_ji__1__xiang_ji_jing_tou__1,wangs___chassis_1__ding_ban__1__xiang_ji__1__xiang_ji_jing_tou__1.stl,0.0001
chassis\Wangs - chassis-1 顶板-1 顶板-1.STL,wangs___chassis_1__ding_ban__1__ding_ban__1,wangs___chassis_1__ding_ban__1__ding_ban__1.stl,0.0001
chassis\Wangs - chassis-1 顶盖-1 屏-1.STL,wangs___chassis_1__ding_gai__1__ping__1,wangs___chassis_1__ding_gai__1__ping__1.stl,0.0001
chassis\Wangs - chassis-1 顶盖-1 开关-22mm-1.STL,wangs___chassis_1__ding_gai__1__kai_guan__22mm_1,wangs___chassis_1__ding_gai__1__kai_guan__22mm_1.stl,0.0001
chassis\Wangs - chassis-1 顶盖-1 新顶盖-1.STL,wangs___chassis_1__ding_gai__1__xin_ding_gai__1,wangs___chassis_1__ding_gai__1__xin_ding_gai__1.stl,0.0001
chassis\Wangs - chassis-1 顶盖-1 超新屏幕支架-1.STL,wangs___chassis_1__ding_gai__1__chao_xin_ping_mu_zhi_jia__1,wangs___chassis_1__ding_gai__1__chao_xin_ping_mu_zhi_jia__1.stl,0.0001
