original_name,pinyin_name,new_filename,mass_kg
chassis\Wangs - chassis-1 外壳-背面-1 右斜面外壳板-1.STL,wangs___chassis_1__wai_ke___bei_mian__1__you_xie_mian_wai_ke_ban__1,wangs___chassis_1__wai_ke___bei_mian__1__you_xie_mian_wai_ke_ban__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 左斜面外壳板-1.STL,wangs___chassis_1__wai_ke___bei_mian__1__zuo_xie_mian_wai_ke_ban__1,wangs___chassis_1__wai_ke___bei_mian__1__zuo_xie_mian_wai_ke_ban__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 立柱-1.STL,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu__1,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 立柱-2.STL,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu__2,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu__2.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 立柱套管-1.STL,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__1,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 立柱套管-2.STL,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__2,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__2.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 立柱套管-3.STL,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__3,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__3.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 立柱套管-4.STL,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__4,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__4.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 立柱套管-5.STL,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__5,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__5.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 立柱套管-6.STL,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__6,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_tao_guan__6.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 立柱层板垫块背面-打印-1.STL,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_ceng_ban_dian_kuai_bei_mian___da_yin__1,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_ceng_ban_dian_kuai_bei_mian___da_yin__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 立柱层板垫块背面-音频-打印-1.STL,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_ceng_ban_dian_kuai_bei_mian___yin_pin___da_yin__1,wangs___chassis_1__wai_ke___bei_mian__1__li_zhu_ceng_ban_dian_kuai_bei_mian___yin_pin___da_yin__1.stl,0.0001
chassis\Wangs - chassis-1 外壳-背面-1 背面外壳板-1.STL,wangs___chassis_1__wai_ke___bei_mian__1__bei_mian_wai_ke_ban__1,wangs___chassis_1__wai_ke___bei_mian__1__bei_mian_wai_ke_ban__1.stl,0.0001
chassis\Wangs - chassis-1 底盘-1.STL,wangs___chassis_1__di_pan__1,wangs___chassis_1__di_pan__1.stl,0.0001
chassis\Wangs - chassis-1 机械臂板-1 主控安装板-2.STL,wangs___chassis_1__ji_xie_bi_ban__1__zhu_kong_an_zhuang_ban__2,wangs___chassis_1__ji_xie_bi_ban__1__zhu_kong_an_zhuang_ban__2.stl,0.0001
chassis\Wangs - chassis-1 机械臂板-1 铜柱-单通-4x12-2.STL,wangs___chassis_1__ji_xie_bi_ban__1__tong_zhu___dan_tong__4x12_2,wangs___chassis_1__ji_xie_bi_ban__1__tong_zhu___dan_tong__4x12_2.stl,0.0001
chassis\Wangs - chassis-1 机械臂板-1 铜柱-单通-4x12-3.STL,wangs___chassis_1__ji_xie_bi_ban__1__tong_zhu___dan_tong__4x12_3,wangs___chassis_1__ji_xie_bi_ban__1__tong_zhu___dan_tong__4x12_3.stl,0.0001
chassis\Wangs - chassis-1 机械臂板-1 铜柱-单通-4x12-4.STL,wangs___chassis_1__ji_xie_bi_ban__1__tong_zhu___dan_tong__4x12_4,wangs___chassis_1__ji_xie_bi_ban__1__tong_zhu___dan_tong__4x12_4.stl,0.0001
chassis\Wangs - chassis-1 机械臂板-1 铜柱-单通-4x12-5.STL,wangs___chassis_1__ji_xie_bi_ban__1__tong_zhu___dan_tong__4x12_5,wangs___chassis_1__ji_xie_bi_ban__1__tong_zhu___dan_tong__4x12_5.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-1 轮组电路上板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-1 轮组电路上班绝缘垫片-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_ban_jue_yuan_dian_pian__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_ban_jue_yuan_dian_pian__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-1 轮组电路上盖板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_gai_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_gai_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-1 轮组电路上盖板套柱-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_gai_ban_tao_zhu__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_gai_ban_tao_zhu__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-1 轮组电路上盖板套柱-2.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_gai_ban_tao_zhu__2,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_gai_ban_tao_zhu__2.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-1 轮组电路上盖板套柱-3.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_gai_ban_tao_zhu__3,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_gai_ban_tao_zhu__3.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-1 轮组电路上盖板套柱-4.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_gai_ban_tao_zhu__4,wangs___chassis_1__lun_zu___di_pan_yi_shang__1__lun_zu_dian_lu_shang_gai_ban_tao_zhu__4.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-2 轮组电路上板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-2 轮组电路上班绝缘垫片-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_ban_jue_yuan_dian_pian__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_ban_jue_yuan_dian_pian__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-2 轮组电路上盖板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_gai_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_gai_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-2 轮组电路上盖板套柱-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_gai_ban_tao_zhu__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_gai_ban_tao_zhu__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-2 轮组电路上盖板套柱-2.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_gai_ban_tao_zhu__2,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_gai_ban_tao_zhu__2.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-2 轮组电路上盖板套柱-3.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_gai_ban_tao_zhu__3,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_gai_ban_tao_zhu__3.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-2 轮组电路上盖板套柱-4.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_gai_ban_tao_zhu__4,wangs___chassis_1__lun_zu___di_pan_yi_shang__2__lun_zu_dian_lu_shang_gai_ban_tao_zhu__4.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-3 轮组电路上板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-3 轮组电路上班绝缘垫片-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_ban_jue_yuan_dian_pian__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_ban_jue_yuan_dian_pian__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-3 轮组电路上盖板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_gai_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_gai_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-3 轮组电路上盖板套柱-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_gai_ban_tao_zhu__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_gai_ban_tao_zhu__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-3 轮组电路上盖板套柱-2.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_gai_ban_tao_zhu__2,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_gai_ban_tao_zhu__2.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-3 轮组电路上盖板套柱-3.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_gai_ban_tao_zhu__3,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_gai_ban_tao_zhu__3.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-3 轮组电路上盖板套柱-4.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_gai_ban_tao_zhu__4,wangs___chassis_1__lun_zu___di_pan_yi_shang__3__lun_zu_dian_lu_shang_gai_ban_tao_zhu__4.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-4 轮组电路上板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-4 轮组电路上班绝缘垫片-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_ban_jue_yuan_dian_pian__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_ban_jue_yuan_dian_pian__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-4 轮组电路上盖板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_gai_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_gai_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-4 轮组电路上盖板套柱-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_gai_ban_tao_zhu__1,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_gai_ban_tao_zhu__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-4 轮组电路上盖板套柱-2.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_gai_ban_tao_zhu__2,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_gai_ban_tao_zhu__2.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-4 轮组电路上盖板套柱-3.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_gai_ban_tao_zhu__3,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_gai_ban_tao_zhu__3.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以上-4 轮组电路上盖板套柱-4.STL,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_gai_ban_tao_zhu__4,wangs___chassis_1__lun_zu___di_pan_yi_shang__4__lun_zu_dian_lu_shang_gai_ban_tao_zhu__4.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 底盘以下上板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__di_pan_yi_xia_shang_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__di_pan_yi_xia_shang_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 电机-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__dian_ji__1,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__dian_ji__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 转向电机同步轮-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__zhuan_xiang_dian_ji_tong_bu_lun__1,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__zhuan_xiang_dian_ji_tong_bu_lun__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 转向电机固定板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__zhuan_xiang_dian_ji_gu_ding_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__zhuan_xiang_dian_ji_gu_ding_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 轮组垫片-a-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__lun_zu_dian_pian__a_1,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__lun_zu_dian_pian__a_1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 轮组垫片-b-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__lun_zu_dian_pian__b_1,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__lun_zu_dian_pian__b_1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 轴承PXAA15-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__zhou_cheng_pxaa15_1,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__zhou_cheng_pxaa15_1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 铜柱-单通-4-40-6-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__tong_zhu___dan_tong__4_40_6_1,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__tong_zhu___dan_tong__4_40_6_1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 铜柱-单通-4-40-6-2.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__tong_zhu___dan_tong__4_40_6_2,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__tong_zhu___dan_tong__4_40_6_2.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 铜柱-单通-4-40-6-3.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__tong_zhu___dan_tong__4_40_6_3,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__tong_zhu___dan_tong__4_40_6_3.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-1 铜柱-单通-4-40-6-4.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__tong_zhu___dan_tong__4_40_6_4,wangs___chassis_1__lun_zu___di_pan_yi_xia__1__tong_zhu___dan_tong__4_40_6_4.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-2 底盘以下上板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__di_pan_yi_xia_shang_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__di_pan_yi_xia_shang_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-2 电机-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__dian_ji__1,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__dian_ji__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-2 转向电机同步轮-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__zhuan_xiang_dian_ji_tong_bu_lun__1,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__zhuan_xiang_dian_ji_tong_bu_lun__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-2 转向电机固定板-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__zhuan_xiang_dian_ji_gu_ding_ban__1,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__zhuan_xiang_dian_ji_gu_ding_ban__1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-2 轮组垫片-a-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__lun_zu_dian_pian__a_1,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__lun_zu_dian_pian__a_1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-2 轮组垫片-b-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__lun_zu_dian_pian__b_1,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__lun_zu_dian_pian__b_1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-2 轴承PXAA15-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__zhou_cheng_pxaa15_1,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__zhou_cheng_pxaa15_1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-2 铜柱-单通-4-40-6-1.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__tong_zhu___dan_tong__4_40_6_1,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__tong_zhu___dan_tong__4_40_6_1.stl,0.0001
chassis\Wangs - chassis-1 轮组-底盘以下-2 铜柱-单通-4-40-6-2.STL,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__tong_zhu___dan_tong__4_40_6_2,wangs___chassis_1__lun_zu___di_pan_yi_xia__2__tong_zhu___dan_tong__4_40_6_2.stl,0.0001
