original_name,pinyin_name,new_filename,mass_kg
right_back_steer\底盘小车 - right_back_steer-3 轮挂架-1.STL,di_pan_xiao_che____right_back_steer_3__lun_gua_jia__1,di_pan_xiao_che____right_back_steer_3__lun_gua_jia__1.stl,0.0001
right_back_steer\底盘小车 - right_back_steer-3 轮组分电下板-1.STL,di_pan_xiao_che____right_back_steer_3__lun_zu_fen_dian_xia_ban__1,di_pan_xiao_che____right_back_steer_3__lun_zu_fen_dian_xia_ban__1.stl,0.0001
right_back_steer\底盘小车 - right_back_steer-3 驱动轴同步轮-2.STL,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_tong_bu_lun__2,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_tong_bu_lun__2.stl,0.0001
right_back_steer\底盘小车 - right_back_steer-3 驱动轴固定件-1 套管-1.STL,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_gu_ding_jian__1__tao_guan__1,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_gu_ding_jian__1__tao_guan__1.stl,0.0001
right_back_steer\底盘小车 - right_back_steer-3 驱动轴固定件-1 轴-1.STL,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_gu_ding_jian__1__zhou__1,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_gu_ding_jian__1__zhou__1.stl,0.0001
right_back_steer\底盘小车 - right_back_steer-3 驱动轴固定件-1 轴承-698-1.STL,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_gu_ding_jian__1__zhou_cheng__698_1,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_gu_ding_jian__1__zhou_cheng__698_1.stl,0.0001
right_back_steer\底盘小车 - right_back_steer-3 驱动轴固定件-1 轴承挂架-CNC-1.STL,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_gu_ding_jian__1__zhou_cheng_gua_jia__cnc_1,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_gu_ding_jian__1__zhou_cheng_gua_jia__cnc_1.stl,0.0001
right_back_steer\底盘小车 - right_back_steer-3 驱动轴固定件-1 轴承挂架-CNC壳-1.STL,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_gu_ding_jian__1__zhou_cheng_gua_jia__cnc_ke__1,di_pan_xiao_che____right_back_steer_3__qu_dong_zhou_gu_ding_jian__1__zhou_cheng_gua_jia__cnc_ke__1.stl,0.0001
