original_name,pinyin_name,new_filename,mass_kg
right_back_drive\底盘小车 - right_back_drive-3 包胶轮-1 包胶轮皮-1.STL,di_pan_xiao_che____right_back_drive_3__bao_jiao_lun__1__bao_jiao_lun_pi__1,di_pan_xiao_che____right_back_drive_3__bao_jiao_lun__1__bao_jiao_lun_pi__1.stl,0.0001
right_back_drive\底盘小车 - right_back_drive-3 包胶轮-1 包胶轮芯-1.STL,di_pan_xiao_che____right_back_drive_3__bao_jiao_lun__1__bao_jiao_lun_xin__1,di_pan_xiao_che____right_back_drive_3__bao_jiao_lun__1__bao_jiao_lun_xin__1.stl,0.0001
right_back_drive\底盘小车 - right_back_drive-3 电机-1.STL,di_pan_xiao_che____right_back_drive_3__dian_ji__1,di_pan_xiao_che____right_back_drive_3__dian_ji__1.stl,0.0001
